orphacode,Prevalence,Inheritance,Age of onset,Synonym
78,Unknown,Not applicable,All ages,Ancylostomiasis
108,<1 / 1 000 000,Not applicable,All ages,
76,Unknown,Not applicable,All ages,Anguilluliasis
68,1-9 / 100 000,Not applicable,All ages,
128,<1 / 1 000 000,Not applicable,All ages,Bothriocephalosis
210,Unknown,Not applicable,All ages,
283,-, - ,,Demodicosis
182,Unknown,Not applicable,All ages,Chromoblastomycosis
390,-, - ,,Darling disease
400,Unknown,Not applicable,Adult,Hydatid disease
430,-, - ,,
472,Unknown,Not applicable,All ages,Cystoisosporiasis
401,Unknown,Not applicable,All ages,
504,-,Not applicable,,Migratory myiasis
723,Unknown,Not applicable,All ages,
826,Unknown,Not applicable,All ages,
591,Unknown,Not applicable,All ages,Furunculoid myiasis
529,Unknown,Autosomal dominant,No data available,
879,Unknown,Not applicable,All ages,
224,Unknown,"Autosomal dominant, Autosomal recessive, Not applicable","Infancy, Neonatal",NDM
517,1-9 / 1 000 000,Not applicable,Adult,AMMoL
514,1-9 / 1 000 000,Not applicable,Childhood,AML M5
450,1-9 / 100 000,"Autosomal dominant, Autosomal recessive, X-linked recessive","Infancy, Neonatal",Heterotaxy syndrome
520,Unknown,Not applicable,"Adolescent, Adult, Childhood, Elderly",AML M3
318,Unknown,Not applicable,"Adolescent, Adult, Childhood, Elderly",AML M6
898,<1 / 1 000 000,Autosomal dominant,Childhood,Dominant hyaloideoretinal dystrophy of Wagner
518,<1 / 1 000 000,Not applicable,"Adult, Childhood",AMKL
123,<1 / 1 000 000,"Autosomal dominant, Autosomal recessive","Infancy, Neonatal",Deafness-pili torti-hypogonadism syndrome
202,-, - ,,Alopecia-deafness-hypogonadism syndrome
345,Unknown,Not applicable,Adult,
129,Unknown,Not applicable,Adult,
170,Unknown,"Autosomal dominant, Autosomal recessive","Infancy, Neonatal",Familial woolly hair syndrome
169,Unknown,"Autosomal dominant, Not applicable",Childhood,Pili annulati
168,Unknown,Autosomal dominant,Childhood,
222,Unknown,Not applicable,"Adolescent, Adult, Childhood, Elderly",
346,Unknown,Not applicable,Adult,
2221,<1 / 1 000 000,Not applicable,Adult,
505,Unknown, - ,Adult,Graham Little syndrome
499,Unknown,Not applicable,All ages,
573,Unknown,"Autosomal dominant, Autosomal recessive","Infancy, Neonatal",Moniliform hair syndrome
444,Unknown,Autosomal dominant,"Infancy, Neonatal","Hypotrichosis, Marie Unna type"
525,Unknown,Not applicable,Adult,Follicular lichen planus
840,Unknown,Unknown,"Adolescent, Childhood, Infancy, Neonatal",Papillary syringocystadenoma
492,-, - ,Adult,
671,Unknown, - ,All ages,
864,Unknown,Not applicable,Adult,
719,-, - ,,
334,-,Autosomal dominant,"Adult, Elderly",
700,1-5 / 10 000,Multigenic/multifactorial,All ages,
615,<1 / 1 000 000,Autosomal dominant,"Adolescent, Adult",
247,1-5 / 10 000,"Autosomal dominant, Autosomal recessive","Adolescent, Adult",Arrhythmogenic cardiomyopathy
874,Unknown,Not applicable,Adult,Adult cardiac tumor
2452,-, - ,,
1677,Unknown,Unknown,All ages,
1666,-, - ,"Infancy, Neonatal",
1205,-, - ,,
720,Unknown, - ,Childhood,
3192,-, - ,,
1676,-, - ,,
1330,1-5 / 10 000,Not applicable,All ages,PAVC
875,Unknown,Not applicable,Childhood,Cardiac tumor of child
1461,Unknown,Unknown,"Infancy, Neonatal",Criss-cross atrioventricular relationships
81,1-9 / 100 000,Not applicable,"Adult, Elderly",AS syndrome
889,Unknown,Not applicable,All ages,Cutaneous hypersensitivity vasculitis
779,Unknown,Not applicable,Adult,Primary biliary cirrhosis and systemic scleroderma
838,Unknown,Unknown,All ages,Retinocochleocerebral vasculopathy
482,<1 / 1 000 000,Unknown,Adult,Eosinophilic lymphogranuloma
764,Unknown,Not applicable,All ages,Myositis purulenta tropica
188,<1 / 1 000 000,Not applicable,Adult,Capillary hyperpermeability syndrome
563,Unknown,Unknown,Adult,Postpartum cardiomyopathy
3282,Unknown,Not applicable,"Infancy, Neonatal",Chaotic atrial tachycardia
435,-, - ,,OBSOLETE: HI syndrome
658,1-9 / 100 000,"Autosomal dominant, Not applicable",All ages,Angioneurotic edema
3406,Unknown,"Autosomal dominant, Not applicable",Childhood,
2908,Unknown,Autosomal recessive,"Infancy, Neonatal",Kindler syndrome
38,Unknown,"Autosomal dominant, Not applicable","Adolescent, Adult",AKE
303,1-9 / 1 000 000,"Autosomal dominant, Autosomal recessive","Infancy, Neonatal",DEB
41,Unknown,Autosomal dominant,Childhood,Acropigmentation of Dohi
211,-,Autosomal dominant,"Adolescent, Adult",Turban tumor syndrome
122,1-9 / 1 000 000,Autosomal dominant,"Adolescent, Adult, Childhood, Elderly",Hornstein-Knickenberg syndrome
39,<1 / 1 000 000,Unknown,"Infancy, Neonatal",
241,-,"Autosomal dominant, Autosomal recessive","Childhood, Infancy",
305,<1 / 1 000 000,Autosomal recessive,"Adolescent, Antenatal, Infancy, Neonatal",Epidermolysis bullosa atrophicans
384,-,Autosomal dominant,"Infancy, Neonatal",Palmoplantar keratoderma-sclerodactyly syndrome
315,<1 / 1 000 000,Autosomal dominant,Childhood,"Degos genodermatosis ""en cocardes"""
338,-, - ,,
316,Unknown,Autosomal dominant,"Infancy, Neonatal",Darier-Gottron disease
496,-, - ,,
409,Unknown,"Autosomal dominant, Not applicable",Adult,Flegel disease
454,Unknown,Not applicable,Adult,
493,-,Autosomal dominant,All ages,Hereditary keratoacanthoma
462,-, - ,,
498,-, - ,,
314,-,Autosomal recessive,Infancy,Leiner disease
530,Unknown,Autosomal recessive,All ages,Hyalinosis cutis et mucosae
623,-, - ,,Nevi-atrial myxoma-myxoid neurofibromata-ephelides syndrome
735,Unknown,"Autosomal dominant, Not applicable","Adolescent, Adult, Childhood",
736,-, - ,,
737,Unknown,"Autosomal dominant, X-linked dominant","Adolescent, Adult","Palmar, plantar and disseminated porokeratosis"
659,<1 / 1 000 000,"Autosomal dominant, Not applicable, X-linked recessive","Childhood, Infancy, Neonatal",Mutilating palmoplantar hyperkeratosis with periorificial keratotic plaques
841,Unknown,"Autosomal dominant, Not applicable","Adolescent, Adult, Childhood",Steatocystoma multiplex
523,Unknown,Autosomal dominant,"Adolescent, Adult, Elderly",Familial leiomyomatosis and renal cell cancer
817,Unknown,Autosomal recessive,"Infancy, Neonatal",Deciduous skin
830,-, - ,,
625,-, - ,,NON RARE IN EUROPE: Clark nevus
867,Unknown,Autosomal dominant,Childhood,
679,<1 / 1 000 000,Autosomal dominant,Adult,MAP
901,<1 / 1 000 000,Not applicable,Adult,Eosinophilic cellulitis
703,1-5 / 10 000,Not applicable,All ages,
873,Unknown,"Not applicable, Unknown","Adolescent, Adult",Aggressive fibromatosis
553,-, - ,,OBSOLETE: Hypercortisolism
432,-,"Autosomal dominant, Autosomal recessive, Multigenic/multifactorial, X-linked recessive","Infancy, Neonatal",Normosmic idiopathic hypogonadotropic hypogonadism
91,<1 / 1 000 000,Autosomal recessive,All ages,Congenital estrogen deficiency
786,Unknown,"Autosomal dominant, Autosomal recessive, Not applicable",All ages,
759,-, - ,,NON RARE IN EUROPE: Gonadotropin-dependant precocious puberty
785,<1 / 1 000 000,Autosomal recessive,Adolescent,
142,1-9 / 1 000 000,Not applicable,"Adult, Elderly",
872,-, - ,,
463,-, - ,,
1332,1-9 / 100 000,Not applicable,Adult,MTC
467,1-5 / 10 000, - ,All ages,Congenital combined pituitary hormone deficiency
73,Unknown,Not applicable,All ages,Gorham disease
877,Unknown,Unknown,Adult,
852,-,X-linked recessive,,
310,Unknown, - ,Childhood,
465,Unknown,Autosomal recessive,"Adolescent, Adult, Childhood, Elderly",Congenital PAI-1 deficiency
853,1-5 / 10 000,Not applicable,"Antenatal, Neonatal",FNAIT
483,-,Autosomal recessive,,
143,1-9 / 1 000 000,Not applicable,Adult,
749,-,Autosomal recessive,"Infancy, Neonatal",
734,-,"Autosomal dominant, Autosomal recessive",,Combined alpha-delta platelet storage pool deficiency
728,Unknown,Unknown,All ages,Polychondropathia
721,<1 / 1 000 000,"Autosomal dominant, Autosomal recessive",Childhood,Alpha storage pool deficiency
105,Unknown,Not applicable,"Antenatal, Neonatal",Urethral atresia
722,1-9 / 1 000 000,Autosomal recessive,All ages,Plasminogen deficiency type 1
490,-, - ,,
237,Unknown, - ,"Infancy, Neonatal",
488,Unknown,Not applicable,"Infancy, Neonatal",
617,Unknown,Unknown,"Adolescent, Adult, Childhood, Infancy, Neonatal",Congenital primary megalo-ureter
238,-, - ,,
386,-, - ,,Biliary hamartoma
831,-, - ,"Adolescent, Adult",Congenital narrowing of cervical spinal canal
674,<1 / 1 000 000,Not applicable,"Infancy, Neonatal",
620,-, - ,,NON RARE IN EUROPE: Universal mesentery
641,1-9 / 100 000,Unknown,Adult,MMN
119,1-9 / 1 000 000,Autosomal recessive,"Adolescent, Childhood",Beta-sarcoglycanopathy
353,1-9 / 1 000 000,Autosomal recessive,Childhood,Gamma-sarcoglycanopathy
49,<1 / 1 000 000, - ,"Antenatal, Neonatal",Aphallia
227,<1 / 1 000 000, - ,"Infancy, Neonatal",
266,-, - ,,LGMD1A
268,1-9 / 1 000 000,Autosomal recessive,"Adolescent, Adult",LGMD2B
265,-, - ,,LGMD1C
264,-, - ,,LGMD1B
219,1-9 / 1 000 000,Autosomal recessive,Childhood,Delta-sarcoglycanopathy
272,Unknown,Autosomal recessive,Infancy,FCMD
899,1-9 / 1 000 000,Autosomal recessive,"Antenatal, Infancy, Neonatal",HARD syndrome
588,Unknown,Autosomal recessive,"Antenatal, Infancy, Neonatal",MEB syndrome
609,1-9 / 100 000,"Autosomal dominant, Autosomal recessive",Adult,"Distal myopathy, Udd type"
278,-, - ,,
263,1-9 / 100 000,"Autosomal dominant, Autosomal recessive",All ages,LGMD
603,Unknown,Autosomal dominant,Adult,WDM
600,<1 / 1 000 000,Autosomal dominant,Adult,Distal myopathy with vocal cord weakness
602,1-9 / 100 000,"Autosomal dominant, Autosomal recessive","Adolescent, Adult",DMRV
725,Unknown,"Autosomal dominant, Not applicable",Childhood,CSWS
404,Unknown,Autosomal dominant,Adult,FH-II
320,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",11-beta-hydroxysteroid dehydrogenase deficiency type 2
756,Unknown,"Autosomal dominant, Autosomal recessive","Infancy, Neonatal",PHA1
230,<1 / 1 000 000,Autosomal recessive,"Adolescent, Adult, Childhood, Infancy, Neonatal",DBH deficiency
724,<1 / 1 000 000,Unknown,All ages,IAEP
590,1-9 / 1 000 000,"Autosomal dominant, Autosomal recessive","Infancy, Neonatal",CMS
824,1-9 / 100 000,Not applicable,Adult,Agnogenic myeloid metaplasia
102,1-9 / 100 000,"Multigenic/multifactorial, Not applicable",Adult,MSA
729,1-5 / 10 000,Not applicable,All ages,Acquired primary erythrocytosis
748,Unknown,"Autosomal dominant, Autosomal recessive, X-linked recessive",All ages,Idiopathic infection caused by BCG or atypical mycobacteria
162,<1 / 1 000 000,Autosomal dominant,"Infancy, Neonatal",Congenital cataract-anterior segment mesenchymal dysgenesis syndrome
807,-, - ,,Macrothrombocytopenia with leukocyte inclusions
545,1-5 / 10 000,"Multigenic/multifactorial, Not applicable",Adult,
88,1-9 / 1 000 000,Unknown,Adult,Idiopathic bone marrow failure
544,1-5 / 10 000,"Multigenic/multifactorial, Not applicable",Adult,DLBCL
26349,-,Not applicable,,
26106,Unknown,Autosomal dominant,Adult,FDGC
26348,-, - ,,Acquired hypoprothrombinemia
25980,<1 / 1 000 000,X-linked recessive,"Adolescent, Adult, Childhood, Infancy, Neonatal",XMEA
26137,<1 / 1 000 000,Unknown,Childhood,Non-giant cell granulomatous temporal arteritis with eosinophilia
25968,Unknown,Not applicable,"Adolescent, Childhood, Infancy",Benign occipital epilepsy
26790,Unknown,Unknown,Adult,Adenomucinosis
26791,1-9 / 1 000 000,Autosomal recessive,All ages,Glutaric acidemia type 2
26823,-, - ,,
28455,-, - ,,
28378,<1 / 1 000 000,Autosomal recessive,"Adolescent, Childhood, Infancy, Neonatal",Keratosis palmoplantaris-corneal dystrophy syndrome
29072,1-9 / 1 000 000,Autosomal dominant,Childhood,Familial pheochromocytoma-paraganglioma
26793,1-9 / 100 000,Autosomal recessive,"Infancy, Neonatal",VLCAD deficiency
29073,1-5 / 10 000,Not applicable,Adult,Kahler disease
29822,<1 / 1 000 000,Unknown,All ages,Episodic spontaneous hypothermia
29207,1-9 / 100 000,"Multigenic/multifactorial, Not applicable","Adolescent, Adult, Elderly",Fiessinger-Leroy disease
26792,Unknown,Autosomal recessive,"Childhood, Infancy, Neonatal",ACADS deficiency
30391,1-9 / 100 000,Multigenic/multifactorial,"Antenatal, Infancy, Neonatal",Non-syndromic biliary atresia
30924,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",HOMG1
30925,Unknown,"Autosomal dominant, Autosomal recessive, X-linked dominant",Childhood,Hereditary CDI
31043,<1 / 1 000 000,Autosomal recessive,Childhood,FHHNC without severe ocular involvement
31142,-, - ,,
31150,<1 / 1 000 000,Autosomal recessive,"Adolescent, Adult, Childhood, Infancy, Neonatal",ATP-binding cassette transporter A1 deficiency
31154,-, - ,,
31202,Unknown, - ,All ages,Burkholderia pseudomallei infection
31204,Unknown,Not applicable,All ages,
31709,Unknown,Autosomal dominant,"Infancy, Neonatal",ICCA syndrome
31205,Unknown, - ,All ages,
31824,1-9 / 1 000 000,Not applicable,All ages,
31153,-, - ,,
31112,1-5 / 10 000,Not applicable,All ages,DFSP
31740,Unknown,Not applicable,All ages,Extrinsic allergic alveolitis
31825,Unknown,Not applicable,All ages,
31828,Unknown,Not applicable,All ages,
31827,Unknown,Not applicable,All ages,
31837,Unknown,"Autosomal recessive, Not applicable",All ages,
32960,Unknown,Autosomal dominant,"Adolescent, Adult, Childhood, Infancy",Familial Hibernian fever
31826,Unknown,Not applicable,All ages,
33067,<1 / 1 000 000,Autosomal dominant,"Infancy, Neonatal",
33069,Unknown,Autosomal dominant,"Infancy, Neonatal",SMEI
33001,Unknown,Autosomal dominant,All ages,
33108,<1 / 1 000 000,"Autosomal recessive, X-linked recessive",Antenatal,Autosomal recessive lethal multiple pterygium syndrome
33111,<1 / 1 000 000,Not applicable,Adult,
33110,<1 / 1 000 000,"Autosomal dominant, Autosomal recessive",All ages,"Non-syndromic agammaglobulinemia, non-Bruton type"
33226,Unknown,Multigenic/multifactorial,Elderly,
33314,Unknown,Not applicable,Adult,Jessner-Kanof lymphocytic infiltration of the skin
33208,Unknown,Unknown,All ages,Idiopathic excessive sleepiness
33271,-, - ,,NON RARE IN EUROPE: NAFLD
33355,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",AK2 deficiency
33276,1-9 / 100 000,Not applicable,Adult,
33408,Unknown,"Autosomal dominant, Not applicable",Childhood,
33409,-, - ,,NON RARE IN EUROPE: Lichen sclerosus et atrophicus
33402,Unknown,Not applicable,"Adolescent, Childhood",Childhood-onset hepatocellular carcinoma
33445,<1 / 1 000 000,Autosomal recessive,Childhood,Elejalde neuroectodermal melanolysosomal disease
33475,1-9 / 100 000,Not applicable,All ages,
33364,Unknown,"Autosomal recessive, X-linked recessive","Infancy, Neonatal",
33573,<1 / 1 000 000,Autosomal recessive,Infancy,Glutathionuria
33574,<1 / 1 000 000,Autosomal recessive,Infancy,Gamma-glutamylcysteine synthetase deficiency
33577,Unknown,Not applicable,Adult,Idiopathic lobular panniculitis
34145,-, - ,,IgA nephropathy
33543,1-9 / 1 000 000, - ,"Adolescent, Adult, Childhood",
34412,-, - ,,NON RARE IN EUROPE: Hyperandrogenic-insulin resistant-acanthosis nigricans syndrome
34149,-,Autosomal dominant,"Adolescent, Adult, Childhood, Infancy",Familial juvenile hyperuricemic nephropathy
34514,<1 / 1 000 000,Autosomal recessive,"Adolescent, Childhood, Infancy",LGMD2G
33572,<1 / 1 000 000,Autosomal recessive,"Childhood, Infancy, Neonatal",Oxoprolinuria due to oxoprolinase deficiency
34217,Unknown,Autosomal recessive,"Infancy, Neonatal",KWWH type I
34515,1-9 / 100 000,Autosomal recessive,"Adolescent, Adult, Childhood",Autosomal recessive limb-girdle muscular dystrophy type 2I
34517,-, - ,,LGMD1E
34516,<1 / 1 000 000,Autosomal dominant,Adult,LGMD1D
34527,-, - ,,
34526,-, - ,,
34520,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Congenital muscular dystrophy with ITGA7 deficiency
34521,-, - ,,
34528,<1 / 1 000 000,Autosomal dominant,All ages,HOMG2
34587,<1 / 1 000 000,X-linked dominant,Childhood,GSD due to LAMP-2 deficiency
34592,<1 / 1 000 000,Autosomal recessive,Childhood,MHC class I deficiency
35061,-, - ,,
35056,-, - ,,NON RARE IN EUROPE: Fish-odor syndrome
34533,Unknown,"Autosomal dominant, Autosomal recessive, Mitochondrial inheritance, Not applicable, X-linked recessive",All ages,
35062,Unknown,Not applicable,All ages,Severe disseminated CMV infection in immunocompetent patients
35063,-, - ,,
35064,-, - ,,
35066,-, - ,,NON RARE IN EUROPE: Idiopathic cutaneous and mucosal candidiasis
35098,-, - ,,OBSOLETE: Synostotic plagiocephaly
35065,-, - ,,
35069,Unknown,Autosomal recessive,"Infancy, Neonatal",INAD
35078,Unknown,Autosomal recessive,"Infancy, Neonatal",T-B+ SCID due to JAK3 deficiency
35093,-,"Autosomal dominant, Not applicable","Infancy, Neonatal",Isolated scaphocephaly
35099,-,"Autosomal dominant, Not applicable","Infancy, Neonatal",Isolated synostotic brachycephaly
35120,-,Autosomal recessive,"Infancy, Neonatal",P5N deficiency
35123,-, - ,,OBSOLETE: 17b-hydroxysteroid dehydrogenase deficiency type 10
35107,<1 / 1 000 000,Autosomal recessive,"Antenatal, Infancy, Neonatal",
35121,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",
35125,Unknown,Not applicable,"Infancy, Neonatal",Epidermal hamartoma syndrome
35122,1-5 / 10 000,Autosomal recessive,"Adolescent, Adult, Childhood, Infancy",CSID
35173,1-9 / 1 000 000,X-linked dominant,"Antenatal, Infancy, Neonatal",CDPX2
35612,Unknown,"Autosomal dominant, Autosomal recessive, Not applicable","Infancy, Neonatal",Nanophthalmia
35687,Unknown,Not applicable,Adult,
35656,Unknown,Autosomal recessive,All ages,Primary coenzyme Q10 deficiency
35664,<1 / 1 000 000,"Autosomal recessive, Not applicable","Infancy, Neonatal",Delta-1-pyrroline 5-carboxylate synthetase deficiency
35688,-, - ,,
35686,-, - ,,Geographic helicoid peripapillary choroidopathy
35689,1-9 / 100 000,"Autosomal dominant, Autosomal recessive, Not applicable","Adult, Elderly",Adult-onset PLS
35698,Unknown, - ,All ages,mtDNA depletion syndrome
35696,-, - ,,Combined OXPHOS defect
35704,<1 / 1 000 000,Autosomal recessive,Infancy,AGAT deficiency
35706,Unknown,Autosomal recessive,All ages,Glutaric aciduria type 3
35708,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",AADC deficiency
35710,Unknown,Autosomal recessive,"Infancy, Neonatal",CGGM
35737,Unknown, - ,Childhood,Morning glory syndrome
35701,<1 / 1 000 000,Autosomal recessive,Childhood,HMG-CoA synthase deficiency
35705,<1 / 1 000 000, - ,"Infancy, Neonatal",Serine deficiency
35889,Unknown,Not applicable,All ages,
35858,Unknown,Autosomal recessive,Childhood,Familial megaloblastic anemia
35808,Unknown,Not applicable,All ages,Malignant ovarian SCST
35981,Unknown,"Autosomal dominant, Autosomal recessive, Not applicable, X-linked dominant",Childhood,
